               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.022194,           0.0087196,                   0,             0.75233,             0.57444,             0.69496,             0.33776,            0.039907,            0.024749,                   0,           0.0088417,           0.0088417,           0.0088417
                 119,            0.022112,           0.0086691,                   0,             0.78718,             0.55543,             0.66173,             0.34762,            0.040023,            0.026836,                   0,           0.0088318,           0.0088318,           0.0088318
                 120,            0.022246,           0.0083868,                   0,             0.80034,             0.62162,             0.71802,             0.36147,            0.039733,            0.026645,                   0,           0.0088219,           0.0088219,           0.0088219
                 121,            0.022257,           0.0085197,                   0,             0.76395,             0.65562,             0.71553,             0.35878,            0.039473,            0.024522,                   0,            0.008812,            0.008812,            0.008812
                 122,            0.021881,            0.008292,                   0,             0.78162,             0.59273,             0.67339,              0.3301,             0.04119,             0.02634,                   0,           0.0088021,           0.0088021,           0.0088021
                 123,            0.021885,           0.0081981,                   0,             0.78762,             0.61301,             0.72715,             0.36087,            0.040421,             0.02785,                   0,           0.0087922,           0.0087922,           0.0087922
                 124,             0.02168,           0.0086588,                   0,             0.75199,             0.63141,             0.72308,             0.36283,             0.03908,            0.023215,                   0,           0.0087823,           0.0087823,           0.0087823
                 125,            0.021869,           0.0084302,                   0,             0.76423,             0.59486,             0.68785,             0.33485,             0.03937,            0.025759,                   0,           0.0087724,           0.0087724,           0.0087724
                 126,             0.02169,           0.0083302,                   0,             0.76417,             0.54762,              0.6752,             0.34619,            0.040064,            0.027793,                   0,           0.0087625,           0.0087625,           0.0087625
                 127,            0.021559,           0.0081827,                   0,             0.74414,             0.58385,             0.63051,             0.32411,            0.038357,            0.025375,                   0,           0.0087526,           0.0087526,           0.0087526
